JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Assistant Technician - Chillers & Plants (Mechanical),Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on various types of chillers individually or as part of a technical…",,5 days ago,https://ae.indeed.com/rc/clk?jk=f823dc9f7f62f4f0&fccid=8177021cdb259d9d&vjs=3
Assistant Director of Sales,25 Hours,Dubai,"You have knowledge of Opera PMS, web and Microsoft office programs.
Employee benefit card offering discounted rates in Accor worldwide.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=21c1840844b23013&fccid=aee65e5f8913e3f3&vjs=3
Assistant Technician - Facility Maintenance/Pump Mechanic,Serco Group,Dubai,"Assistant Technician - Facility Maintenance/ Pump Mechanic.
The purpose of the role is to carryout preventative, corrective and breakdown maintenance on…",,5 days ago,https://ae.indeed.com/rc/clk?jk=62ee49eda704d0ca&fccid=8177021cdb259d9d&vjs=3
Chair side dental assistant 1,هيئة الصحة بدبي,Dubai,"Provide guidance and supervision to other dental assistants as appropriate.
Arranges appointments, receive and dismiss patients, keep and maintain patient's…",,7 days ago,https://ae.indeed.com/rc/clk?jk=bf66dfe681ea17e9&fccid=c166edb940e38c8e&vjs=3
Assistant Executive Housekeeper,Waldorf Astoria Hotels & Resorts,Ras al-Khaimah,An Assistant Executive Housekeeper will support all Housekeeping and Laundry operations including the development of the Team Members with in the group so to…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=8d146743331dfbd9&fccid=55e068e3b5b21a45&vjs=3
Executive Assistant to the Showroom Manager,Mineral Circles Bearings,Dubai,"Full comprehension of office management systems and procedures.
Skilled in the use of standard office equipment (e.g. copiers, printers and scanners).",,30+ days ago,https://ae.indeed.com/rc/clk?jk=7b447d36b49f4bce&fccid=9f7f0cdd429ec35e&vjs=3
IT Assistant,WHR Solution,Dubai,Supports the management of IT Department in the ongoing maintenance and operations of all Information Technology implemented within all properties under Meydan…,,4 days ago,https://ae.indeed.com/rc/clk?jk=b2c15fe2943e1a58&fccid=0b6ceee04f9ad27c&vjs=3
French/English speaking Executive Assistant,Robert Half United Arab Emirates,Dubai,"In the new Dubai offices, you will support the inspiring CEO as well as the wider team.
I am looking to engage with top tier, ambitious Executive Assistants to…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=75f6494a6813fba4&fccid=bc2f0862932e35da&vjs=3
Assistant Technician - Power Distribution - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on medium and low voltage power distribution related systems and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=89d49f70595a574c&fccid=b1b72a0873ccea59&vjs=3
Front Office Agent,RAFFLES,Dubai,"To manage all activities relevant to the Front Desk such as the reception, check in / out, cashiering, foreign exchange and assisting guest with inquiries.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=5f8fc438fa3a372c&fccid=293d5cb613c7d0b7&vjs=3
Program Assistant,Zameer Training FZE,Dubai,"Company: Zameer Training FZEEmployment Type: Full TimeJob Type: Admin.
Reporting to the Marketing and Admissions Manager you will be responsible for reviewing…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=26dfd6e55c5ac205&fccid=b1cc24d113e2c544&vjs=3
Assistant Fairmont Gold Manager,FAIRMONT,Dubai,"A total of 11 food and beverage outlets on property offer international dining options including Little Miss India, Frevo - Brazilian Churrasco experience,…",,26 days ago,https://ae.indeed.com/rc/clk?jk=f9222bd01346ab77&fccid=89e76d744c108ac2&vjs=3
Junior QS cum Admin Assistant,JTLI Contracting,Dubai,"With atleast QS Background (Tender, BOQ, Quantity take off) • Site Coordinator Background • Minimum of 2 years’ experience in Construction Company • Willing to…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=0f8174a380bd0591&fccid=5d6be7e8e4a5d664&vjs=3
Assistant Phase Supervisor,Bukhatir Education Advancement and Management Inte...,Dubai,"Provide pastoral support to the department and managing the Students and Teachers in terms of non-academic functions.
4-Year Bachelor’s Degree.",,6 days ago,https://ae.indeed.com/rc/clk?jk=0c2e0b18cb7c4d48&fccid=66d46b0a563003e1&vjs=3
Assistant Technician - Facility Maintenance /LV,Serco Plc,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on electrical low voltage (LV) equipment and systems, individually or…",,6 days ago,https://ae.indeed.com/rc/clk?jk=a1838fb4bfc3c29f&fccid=8177021cdb259d9d&vjs=3
Senior Administration Manager,Expo 2020,Dubai,"Proactively leads the Administration Team providing back office support for the PEO function and venue teams.
The Administration Team will be key members of the…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=696a481c73c86787&fccid=2b3f1d0c0e1ed5c4&vjs=3
"Executive Assistant - Arts & Humanities (Fixed-Term until December 31, 2021)",NYU Abu Dhabi,Abu Dhabi,"3+ years of office experience.
Compare invoices with actual expenditures and investigate and resolve discrepancies with the budget office.",,21 days ago,https://ae.indeed.com/rc/clk?jk=a3acde9eecf0a5ca&fccid=1fd02f11432a270f&vjs=3
Assistant Technician - FM Civil & Furniture/ Carpenter,Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance within a facilities management civil works section, individually or as…",,5 days ago,https://ae.indeed.com/rc/clk?jk=7de53f1a06bd85f6&fccid=8177021cdb259d9d&vjs=3
Accounting Assistant,JAMS HR Solutions,Sharjah,"Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc.
Providing support to the Accounts and finance Department.",,16 days ago,https://ae.indeed.com/rc/clk?jk=bc1cc7ed0edd0de1&fccid=5995a0f63c4fddb1&vjs=3
Assistant Professor,Al Khawarizmi International College,UAE,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,16 days ago,https://ae.indeed.com/rc/clk?jk=31dc523519dc4a42&fccid=e5e4309ec04ef187&vjs=3
Office Assistant,Anwar Al Bashaier Bldg Mat Tr Co LLC.,Sharjah,"Required a Data Entry Operator for Building material and hardware company in Sharjah.
Data Entry,Ms Office Skills,Communication Skills,Works well with a team.",,24 days ago,https://ae.indeed.com/rc/clk?jk=007e1266da67483a&fccid=87e4e89d8c0e7b39&vjs=3
Internship Officer,Zayed University,Abu Dhabi,"Serves as an assistant to the two College Faculty Internship Coordinators, College Administration, students, their families and alumni.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=942a7f20c7fdf5ef&fccid=9628b0bd10bde506&vjs=3
Back Office Medical Assistant,JAMS HR Solutions,Dubai,"Obtaining chief complaint and vitals.
Point of care testing, collection, labeling, and handling of specimens, logging patient demographic and visit information.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=7cfa0042b254e528&fccid=5995a0f63c4fddb1&vjs=3
Buying Assistant,RTC-1 Employment Services,Dubai,Receives samples and maintaining product library • Enters retail prices in RMS once approved by management • Creates the Purchase Order and PO Cover sheet •…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=ea4aef69cdcaad9e&fccid=a0f4df2b71213d85&vjs=3
Administration & Procurement Officer,Mbr Headhunters,Abu Dhabi,"Acting as an assistant to the HR department and handling employee related communication and forms.
Demonstrated ability to work autonomously when required but…",,6 days ago,https://ae.indeed.com/rc/clk?jk=f6c1056c25e64906&fccid=2e446275f8cd19d2&vjs=3
Assistant Technician -Facility Maintenance /HVAC,Serco Group,Dubai,"The purpose of the role is to carryout necessary preventative, corrective and breakdown maintenance on various types of locks, keys and related accessories…",,5 days ago,https://ae.indeed.com/rc/clk?jk=09629b297cc0f272&fccid=8177021cdb259d9d&vjs=3
Executive Assistant,Michael Page AE,Dubai,The Executive Assistant will provide support by handling a diverse collection of activities on behalf of one of the C-Level Executives.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=c1498a15c04eca7e&fccid=77087bd1709a8148&vjs=3
Assistant Technician - Facility Maintenance /HVAC- this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"The purpose of the role is to carryout necessary preventative, corrective and breakdown maintenance on various types of locks, keys and related accessories…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=6ad4e10e21d5ec34&fccid=b1b72a0873ccea59&vjs=3
Head of Operations,Taaleem,Dubai,"Manage, lead and direct all teams in school that deal with site/facilities, operations and cost control.
Manage all associated areas to maintain high levels of…",,6 days ago,https://ae.indeed.com/rc/clk?jk=4b2fc654fd1ecadb&fccid=08885b1023b1d1b7&vjs=3
Arab Health Exhibition - Korean Pavilion - Event Assistant,KOTRA - UAE,Dubai,"Good telemarketing/sales skills(utmost) - Good MS-office skills - Team Player.
Main roles: - Calling buyers to participate in Arab Health and Online Meetings -…",,1 day ago,https://ae.indeed.com/rc/clk?jk=222753493657a00b&fccid=c8550c5b82b9d262&vjs=3
Merchandise Planning Assistant,RTC-1 Employment Services,Dubai,Position Title: Merchandise Planning Assistant Employment Type: Full Time Salary: up to 8K AED all-inclusive depending on experience and qualifications Job…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=1bdba72804437840&fccid=a0f4df2b71213d85&vjs=3
Sr. QA/QC Engineer/ Assistant QA/QC Manager,HIDAYATH GROUP,Dubai,"Plans and directs activities concerned with development, application, and maintenance of quality standards for industrial processes, materials, and products:…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b9e1e1cbe3bd5faf&fccid=23bb7c417007ba5f&vjs=3
PROPERTY MANAGER (30285),Nadia,Dubai,"Following up on a daily basis with administrative assistants with regards to contract renewals, expired contracts, returned cheques.",,5 days ago,https://ae.indeed.com/rc/clk?jk=05fcb7bd3d3ed38d&fccid=8b9276424d9ed4df&vjs=3
Assistant Technician - FM Civil & Furniture /Polisher,Serco Plc,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on civil works individually or as part of a technical team, within a…",,1 day ago,https://ae.indeed.com/rc/clk?jk=476847ad4f64d4ad&fccid=8177021cdb259d9d&vjs=3
Floor Supervisor (Housekeeping),Gloria Hotels,Dubai,"Returns Lost and Found to the Housekeeping office following the required procedures.
Train all new colleagues to the standards required by the hotel.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=0f8544df98d4c65f&fccid=f032dacc24c5c664&vjs=3
Manager - Social Media (Arabic Speaker),GEMS Education,Dubai,"Social Media community management, content creation and monitoring.
Directly and indirectly (via school staff) manage our social media channels for the…",,4 days ago,https://ae.indeed.com/rc/clk?jk=bd489c9dd60fb4d4&fccid=57152cef4c225917&vjs=3
Assistant Technician - FM Civil & Furniture - Painter,Serco Group,Dubai,"As an Assistant Technician, your purpose of the role is to carryout preventative, corrective and breakdown maintenance within a facilities management civil…",,5 days ago,https://ae.indeed.com/rc/clk?jk=62b25abea3baae9d&fccid=8177021cdb259d9d&vjs=3
Assistant Technician - Water Network - Pump Mechanic,Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on various types of pumps individually or as part of a technical team,…",,5 days ago,https://ae.indeed.com/rc/clk?jk=011b85ca1a5911a4&fccid=8177021cdb259d9d&vjs=3
Assistant/Associate Professor,Al Khawarizmi International College,Abu Dhabi,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=affaf976483ffccd&fccid=e5e4309ec04ef187&vjs=3
Laboratory Assistant at Dubai Jebel Ali’s Hazardous Liquid Waste Treatment Plant (HLWTP),Veolia,Dubai,"Conduct laboratory tests and analyse results.
Prepare samples for testing using various laboratory equipment.
Maintain all laboratory records and documents.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b467f31382834a80&fccid=28ee277926be0542&vjs=3
Senior Administrative Officer,Zayed University,Abu Dhabi,Keeps the Assistant Provost for Faculty Affairs informed of all issues related to the different units/departments under this office.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=e567d29a26034612&fccid=9628b0bd10bde506&vjs=3
Research Assistant,United Arab Emirates University (UAEU),Al-Ayn,"A minimum of 5 years of administrative assistant experience, which includes experience in providing high-level administrative support and support for special…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=01a8217cd8650875&fccid=b41c0daaeee4e303&vjs=3
Assistant/Associate Provost for Student Success,American University of Ras Al Khaimah,Ras al-Khaimah,"He/she works collaboratively with AURAK’s assistant/associate provosts, deans, program chairs, faculty, other senior administrators, students, international…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=9d97936e6b4d8590&fccid=406f6ced1bb42efd&vjs=3
Assistant Manager Operations & Risk Management Code,PhillipCapital,Dubai,"Preparing /updating / Reviewing the daily Risk Report, Margin Adequacy requirements etc and internal MIS Monitoring and Controlling Clearing and Settlement…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=de99791e7126c359&fccid=b752cf438285f04b&vjs=3
Assistant Loss Prevention Manager,"Marriott International, Inc",Dubai,"The mandatory in this position is responsible for supporting the Assistant Loss Prevention Manager for implementing, overseeing and monitoring all security…",,21 days ago,https://ae.indeed.com/rc/clk?jk=080b67354b10ab26&fccid=d47acb5b5596d9e4&vjs=3
Assistant IT Manager,WHR Solution,Dubai,"As an Assistant IT Manager, you will be responsible to provide first level support for both users and guests for various IT and Business applications.",,14 days ago,https://ae.indeed.com/rc/clk?jk=51ad89d5db23af3f&fccid=0b6ceee04f9ad27c&vjs=3
ROTATION ASSISTANT,SOS HR,UAE,"Coordinate with Receptionist for the maintenance of office stationary.
Replace other office staff while they are on annual vacation.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=7bf10fe5cb0904ac&fccid=8bf55217767d8165&vjs=3
Assistant Technician - Chillers & Plants - Fitter,Serco Group,Dubai,"The purpose of the role is to perform assistance to the Chiller Technician in the operation & maintenance of the chiller plant equipment that include chillers,…",,5 days ago,https://ae.indeed.com/rc/clk?jk=3e7bf02974f73687&fccid=8177021cdb259d9d&vjs=3
Assistant Executive Housekeeper (Arabic Speaking),Doubletree by Hilton,Ras al-Khaimah,An Assistant Executive Housekeeper (Arabic Speaking) is responsible for overseeing all housekeeping operations to deliver an excellent Guest and Member…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=70d4e93176128328&fccid=541f99e75f9ccda5&vjs=3
HVAC Engineer,Julphar,Ras al-Khaimah,Job Title: HVAC Engineer Division: Maintenance - HVAC Section Country: UNITED ARAB EMIRATES Work Location: UAE (RAK head office) Job Type: HVAC Engineer…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=8fa08dcc784c8a17&fccid=02ea1bee6fdc4b67&vjs=3
Spa Attendant,"Marriott International, Inc",Dubai,"Posting Date May 22, 2021.
Location JW Marriott Marquis Hotel Dubai, Sheikh Zayed Road, Dubai, United Arab Emirates, United Arab Emirates VIEW ON MAP.",,2 days ago,https://ae.indeed.com/rc/clk?jk=f659c11256e91069&fccid=d47acb5b5596d9e4&vjs=3
Assistant Technician - Outdoor Lighting - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"Make a difference every day.
The purpose of the role is to carryout preventative, corrective and breakdown maintenance on outdoor lighting related systems and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=3e6576f8970f8195&fccid=b1b72a0873ccea59&vjs=3
Bilingual Team Administrator (6 month FTC),Stephenson Harwood LLC,Dubai International Financial Center,"The personal assistants work directly for the legal personnel, with the team administrators assisting all legal personnel and personal assistants.",,24 days ago,https://ae.indeed.com/rc/clk?jk=4e807ed8ee141fbe&fccid=165f7f66cc168574&vjs=3
Administrative Assistant /Projects,BD Select,Dubai,"Update office phone directory/extension list.
Organize for general office supplies – stationery etc.
Assist with setting up office leases and other branch…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=8027bc6a9db2b97d&fccid=3449f670846616c7&vjs=3
Front Office Associate,Citymax Hotels UAE,Dubai,"Job: Landmark Hospitality Front office.
Primary responsibility of the role is to handle all activities relating to guest accounts, receiving and filling of…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b0800c8fa94cb926&fccid=c9282cd8a0064368&vjs=3
Assistant Technician - Water Network - Pump Mechanic - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"Make a difference every day.
The purpose of the role is to carryout preventative, corrective and breakdown maintenance on various types of pumps individually or…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=9b242018247f1d6e&fccid=b1b72a0873ccea59&vjs=3
"Graduate Studies,Research & Outreach Support Administrative Officer",Zayed University,Abu Dhabi,Interacts extensively with the dean’s office administrators and graduate studies director to ensure smooth day-to-day office operations.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=9e0ce9e305a9013c&fccid=9628b0bd10bde506&vjs=3
Director of Golf,Troon Golf,Abu Dhabi,"Abu Dhabi Golf Club (UAE) is excited to announce the exceptional career opportunity of Director of Golf.
Key Responsibilities of the Director of Golf:",,18 days ago,https://ae.indeed.com/rc/clk?jk=38280d6bbde1ff0a&fccid=f51673baecce6199&vjs=3
Team Leader- Microbiology,Julphar,Ras al-Khaimah,Job Title: Team Leader- Microbiology Division: QUALITY CONTROL Country: UNITED ARAB EMIRATES Work Location: UAE (RAK head office) Job Type: Quality Control -…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=aa43aee4ccf7121d&fccid=02ea1bee6fdc4b67&vjs=3
Assistant Technician - Airfield Civil Works/Painter - this role is with our outsourcing partner Serco.,Dubai Airports,Dubai,"Make a difference every day.
The purpose of the role is to carryout preventative, corrective and breakdown maintenance within a facilities management civil…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=ae6b8179ca072926&fccid=b1b72a0873ccea59&vjs=3
"Director, Internal Audit and Risk Management - Office of Enterprise Risk Management and Internal Assurance",NYU Abu Dhabi,Abu Dhabi,"UAE Nationals are encouraged to apply.
New York University Abu Dhabi (NYUAD) seeks to appoint a Director Internal Audit and Enterprise Risk Management, who will…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=901ef2862d01f621&fccid=1fd02f11432a270f&vjs=3
Receptionist,Michael Page AE,Dubai,This is an exciting opportunity for an experienced Receptionist/executive assistant to further progress their career with a professional services company in…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=bd133aef01ed3c48&fccid=77087bd1709a8148&vjs=3
Bell Attendant cum Driver - LEGOLAND® Hotel,Dubai Parks and Resorts,Dubai,In this role you will be responsible to the Bell Captain for welcoming and escorting guests with their baggage to and from their rooms during check-ins and…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=be7acf4258287506&fccid=9969a38135fd6b08&vjs=3
Packaging Specialist,Farah Experiences,UAE,"Our purpose is to create happiness…one smile at a time.
The Packaging Specialist plays a fundamental role in supporting the booking and operations of packages…",,9 days ago,https://ae.indeed.com/rc/clk?jk=9f99904236903f28&fccid=928854a9391cd3bb&vjs=3
Assistant Technician - Facility Maintenance - LV - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on electrical low voltage (LV) equipment and systems, individually or…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=1a2c5538a043d0d0&fccid=b1b72a0873ccea59&vjs=3
HR & Membership Journey Manager,Emirates Nature-WWF,Dubai,"Support office administration including civil defense inspections, building management queries, health and safety issues, staff requests for furniture or…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=affec93957b285ee&fccid=6a074ad12602b354&vjs=3
Assistant Manager,Common Concept,UAE,"Responsible for managing the RPA Developers team from design, development, testing and implementation of RPA bots deployed across businesses.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=5a6bf851571b80a7&fccid=6453ebd144c2f5c1&vjs=3
Assistant Restaurant Manager - Female - TASCA by José Avillez,Mandarin Oriental Hotel Group,Dubai,"3 years’ experience as an assistant restaurant manager in a luxury hotel or high-end independent restaurant.
Department: Non-Management (Entry), Food & Beverage…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=f96e9006807a10fc&fccid=0b0d7dbf16a42062&vjs=3
Reference Technician,Zayed University,Abu Dhabi,"The Reference Technician will provide effective support at the reference desk to assist students, faculty and staff in locating appropriate information…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e885c919c47e1e91&fccid=9628b0bd10bde506&vjs=3
Assistant Technician - FM Civil & Furniture /Polisher,Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on civil works individually or as part of a technical team, within a…",,5 days ago,https://ae.indeed.com/rc/clk?jk=af88dabf8e4fb21d&fccid=8177021cdb259d9d&vjs=3
Corporate Lifestyle Manager (Dubai office),Jobsite Direct,Dubai,"Our Members are based around the globe, and place a variety of lifestyle & leisure-related requests for assistance with our Lifestyle Management team.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=c09632cad53ac16f&fccid=3e2ac6fc889f26fe&vjs=3
"Assistant Dean, Residential Education and Community Standards - Campus Life (Fixed-Term for 3 Years)",NYU Abu Dhabi,Abu Dhabi,Work alongside the six other assistant or associate deans in Campus Life to provide one-on-one support and mentorship to individual students in an advising…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=19894a8b697c8916&fccid=1fd02f11432a270f&vjs=3
Sales Executive,felixpharma,Dubai,"Should also provide a personal assistant role to the General Manager.
Arabic lady with family sponsorship will be preferred.",,19 days ago,https://ae.indeed.com/rc/clk?jk=c5069b72bed9c4b4&fccid=9642a090ce9cd051&vjs=3
Housekeeping Supervisor - Female,Mandarin Oriental Hotel Group,Dubai,"It is part of your role and your responsibility to fully support all learning and development activities.
Inspect, check and release hotel rooms for arrivals in…",,7 days ago,https://ae.indeed.com/rc/clk?jk=710991f206c61c1c&fccid=0b0d7dbf16a42062&vjs=3
Executive Assistant,CharterHouse,Dubai,You will also be involved within office operations and will support on adhoc administrative projects where required.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=1e0a6a3eda5bcb53&fccid=b83c25ae21a976ae&vjs=3
Assistant for Speaker / Mentor in Finance / Economic Industry,Prime Tech,Dubai,Collaborate with management to identify training needs for corporate training partners - Schedule appropriate training sessions.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=11d6604acabc4d38&fccid=ab1475f17886abc7&vjs=3
Doctors,Ferapeat Global Recruitment,UAE,"Nurses with Bachelor or Diploma Degree.
For applying, candidates have to qualified DHA, HAAD, Prometric and Dataflow certificate is mandatory as per the…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=96dc85aca399abfc&fccid=d0544e84fcacd8be&vjs=3
Assistant to Director,Jobsite Direct,Dubai,"To provide a highly confidential approach at all times.
Management of the diary and hospitality services to ensure a professional and organised approach at all…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=c1205ad8d5b0987a&fccid=3e2ac6fc889f26fe&vjs=3
Senior Student Success Officer,American University of Ras Al Khaimah,Ras al-Khaimah,"Reporting to the Associate/Assistant Provost for Student Success, the person in this position coordinates all services within the Center for Learning Support…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=7ee0c313cddbb925&fccid=406f6ced1bb42efd&vjs=3
Assistant Product Manager,Ignite Search & Selection,Dubai,"Candidate requirements • Be able to demonstrate a high level of multitasking efficiency & priority setting • Ability to read, analyze and interpret data studies…",,26 days ago,https://ae.indeed.com/rc/clk?jk=f9178b6d80c8533d&fccid=6f32a9b2442a4e4b&vjs=3
Residential College Operations Manager - Campus Life (Fixed Term for 3 years),NYU Abu Dhabi,Abu Dhabi,"Maintain and distribute datasets and rosters to staff and offices as needed.
Assess and determine required occupancy needs in alignment with room inventory and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=f20d87107d17aece&fccid=1fd02f11432a270f&vjs=3
Assistant Professor in Information Technology,Al Khawarizmi International College,UAE,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,15 days ago,https://ae.indeed.com/rc/clk?jk=4f3881d41d62bc8f&fccid=e5e4309ec04ef187&vjs=3
Assistant General Counsel (UK & ME),Black Pearl Consult,Dubai,"Managing the effective compliance of the all ME offices, reporting directly to the Managing Partners of those offices and designing with the GC effective…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=dee1494463f9275b&fccid=e9d731aa91b2d791&vjs=3
Executive Assistant - Emirati National,Swisslinx,Dubai,"Ad hoc administrative task include calendar management, travel booking, office management, meeting and event preparation, email correspondence as well as…",,18 days ago,https://ae.indeed.com/rc/clk?jk=9e9ef7bf182be6df&fccid=aa0d17f5e4fc301b&vjs=3
Administration & Customer Engagement,Plum Jobs,Dubai,"Administration roles are diminishing in well-structured organizations and to lower their headcount and payroll costs, we are working with our clients to recruit…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=30b572ddbf79a0db&fccid=f6bdce6d1e14255f&vjs=3
Back Office Medical Assistant,JAMS HR Solutions,Sharjah,"Obtaining chief complaint and vitals.
Point of care testing, collection, labeling, and handling of specimens, logging patient demographic and visit information.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=181c0f42ebe85009&fccid=5995a0f63c4fddb1&vjs=3
Protective Coatings (PC) Sales Engineer,SIGMA PAINTS,Abu Dhabi,"To establish contact and build a relationship with existing and new customers in the area to achieve the set budget.
8-10 years of experience in PC business.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=28a0e6f416954b92&fccid=b1aa96c837dbf522&vjs=3
مساعـد أسنان جانبي 1,هيئة الصحة بدبي,Dubai,"Provide guidance and supervision to other dental assistants as appropriate.
Arranges appointments, receive and dismiss patients, keep and maintain patient's…",,6 days ago,https://ae.indeed.com/rc/clk?jk=e32d76a8b8539cc1&fccid=c166edb940e38c8e&vjs=3
Personal Assistant to a VVIP,Black Pearl Consult,Abu Dhabi,"Liaise with Company’s Advisors, Royal Offices and Ambassador offices and liaise with the female advisors on the Royal Balcony.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e4b8261b1a0b9d7f&fccid=e9d731aa91b2d791&vjs=3
Research Assistant - Grant,United Arab Emirates University (UAEU),Al-Ayn,"Job Description Research Assistant position with the psychiatry department.
The post holder will be based at the College of Medicine and Health Sciences at the…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=32e5e4f0665743e6&fccid=b41c0daaeee4e303&vjs=3
Dental Nurse / Dental Assistant,Medicentres,Dubai,"Provide chair-side assistance to dentists and/or dental hygienists in the performance of dental procedures, to include operative, preventive, periodontal,…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=4365766c5f955d1f&fccid=c3a14a8c9902e4eb&vjs=3
Team Assistant,Black Pearl Consult,Sharjah,"Administer the purchasing of office supplies and equipment.
Very professional and smart — must be able to interact clearly, confidently and politely with very…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=d640ffdde42600c6&fccid=e9d731aa91b2d791&vjs=3
Assistant Front Office Manager,WHR Solution,Abu Dhabi,"As Assistant Front Office Manager, you will be responsible in supervising the Front Office Team to ensure that Team Members are prepared and well-informed to…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=2c545f97fde2a39b&fccid=0b6ceee04f9ad27c&vjs=3
Registrar (Abu Dhabi),EOS Recruitment,Abu Dhabi,"This role may require occasional work outside of normal office hours.
Processes requests for or inquiries on registration information, procedures, and/or…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=8c80e6e7e2af81c6&fccid=14281968e41db56d&vjs=3
Assistant Technician - Chillers & Plants (Electrical) - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on chiller and low voltage power related systems and assets…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=664ec552a13ee834&fccid=b1b72a0873ccea59&vjs=3
Fabrication Engineer (shipyard),WTS Energy,Dubai,"Possess knowledge of MS office, Mariner application and Project Management skills.
Plan, organize, coordinate and supervise Fabrication activities including…",,27 days ago,https://ae.indeed.com/rc/clk?jk=db56d07e6dc2ab52&fccid=06f79b13e7ee7f0a&vjs=3
Nursery Nurse,Fortes Holdings,Dubai,Or moreThis position would involve performing the duties of a teaching assistant in a classNursery or school experience would.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=78a416cb4762719f&fccid=aa2fdf0cddbb8233&vjs=3
